District,Area,Rooms,Building,Owner,Full_price
Żoliborz,52.0,2.0,blok,prywatny,5020.0
Mokotów,120.0,4.0,apartamentowiec,biuro nieruchomości,12000.0
Ursynów,63.0,3.0,blok,biuro nieruchomości,3800.0
Praga-Południe,70.0,3.0,blok,biuro nieruchomości,4800.0
Praga-Północ,27.0,1.0,blok,prywatny,2700.0
Mokotów,43.0,2.0,apartamentowiec,prywatny,3940.0
Ursus,64.0,3.0,blok,prywatny,5800.0
Praga-Północ,40.0,2.0,blok,prywatny,4500.0
Ursus,54.0,2.0,apartamentowiec,prywatny,3870.0
Praga-Południe,70.0,4.0,blok,prywatny,4290.0
Włochy,25.9,1.0,blok,biuro nieruchomości,2840.0
Praga-Północ,34.89,2.0,blok,biuro nieruchomości,2950.0
Wilanów,100.0,3.0,apartamentowiec,biuro nieruchomości,8550.0
Bemowo,30.0,2.0,blok,prywatny,3300.0
Ochota,36.6,2.0,blok,biuro nieruchomości,3000.0
Wawer,50.0,2.0,dom wolnostojący,biuro nieruchomości,2200.0
Praga-Północ,90.0,4.0,kamienica,biuro nieruchomości,8100.0
Ochota,30.0,1.0,apartamentowiec,prywatny,2980.0
Wola,43.0,2.0,blok,prywatny,4750.0
Ursynów,28.5,1.0,blok,prywatny,3079.0
Śródmieście,110.0,3.0,blok,biuro nieruchomości,30000.0
Ursus,56.0,3.0,blok,prywatny,3730.0
Wola,50.0,2.0,apartamentowiec,prywatny,6100.0
